filename,width,height,class,xmin,ymin,xmax,ymax
apple_0001.jpg,500,375,apple,79,25,408,364
apple_0002.jpg,375,500,apple,76,227,192,334
apple_0002.jpg,375,500,apple,206,229,318,367
apple_0002.jpg,375,500,apple,114,342,240,467
apple_0002.jpg,375,500,apple,106,107,204,213
apple_0002.jpg,375,500,apple,192,166,290,242
apple_0002.jpg,375,500,apple,244,363,358,476
apple_0002.jpg,375,500,apple,40,324,133,425
apple_0003.jpg,500,500,apple,16,16,488,482
apple_0004.jpg,335,500,apple,50,104,293,354
apple_0005.jpg,500,375,apple,9,46,448,371
apple_0006.jpg,500,333,apple,53,162,302,333
apple_0006.jpg,500,333,apple,238,89,367,216
apple_0007.jpg,500,339,apple,4,101,315,335
apple_0008.jpg,500,375,apple,72,49,422,360
apple_0009.jpg,500,375,apple,274,40,424,218
apple_0010.jpg,500,375,apple,4,85,355,375
apple_0011.jpg,500,375,apple,89,10,433,353
apple_0012.jpg,500,500,apple,38,279,257,474
apple_0012.jpg,500,500,apple,288,292,476,477
apple_0013.jpg,368,500,apple,118,268,310,454
apple_0014.jpg,500,363,apple,98,119,417,357
apple_0015.jpg,500,375,apple,11,26,496,375
apple_0016.jpg,500,375,apple,111,105,189,168
apple_0016.jpg,500,375,apple,331,163,423,252
apple_0016.jpg,500,375,apple,141,197,240,266
apple_0017.jpg,375,500,apple,15,96,311,364
apple_0018.jpg,500,375,apple,53,173,215,341
apple_0018.jpg,500,375,apple,226,172,387,329
apple_0018.jpg,500,375,apple,153,151,266,211
apple_0019.jpg,500,375,apple,4,3,259,337
apple_0019.jpg,500,375,lemon,224,22,499,375
apple_0020.jpg,500,333,apple,183,53,414,300
apple_0021.jpg,500,333,apple,210,123,386,318
apple_0022.jpg,500,333,apple,192,67,418,300
apple_0023.jpg,500,333,apple,183,73,400,267
apple_0024.jpg,500,400,apple,56,27,411,363
apple_0025.jpg,500,375,apple,172,92,340,258
apple_0026.jpg,500,375,apple,193,172,322,291
